district,furnished,ac,kitchen,age,street_width,area,wc,livings,beds,price,year,month,total_rooms
حي الواحة,0,0,1,0,15,100,2,1,3,29000,2022,8,6
حي الصالحية,0,0,1,0,16,210,2,1,4,30000,2022,8,7
حي الفروسية,0,0,1,1,16,220,3,1,4,30000,2022,8,8
حي الفلاح,0,0,1,5,23,200,3,1,5,30000,2022,8,9
حي المروة,0,0,0,9,16,150,2,1,5,30000,2022,8,8
حي الفردوس,1,1,1,3,20,156,1,1,2,30000,2022,8,4
حي السلامة,0,0,1,6,30,150,2,1,3,30000,2022,8,6
حي الياقوت,0,0,0,1,15,260,2,1,4,30000,2022,8,7
حي الفلاح,0,0,0,4,16,200,3,1,4,30000,2022,8,8
حي الصالحية,0,0,0,0,16,150,3,1,3,30000,2022,8,7
حي المنتزه,1,1,1,20,15,120,2,1,3,30000,2022,8,6
حي اللؤلؤ,0,0,0,0,16,160,2,1,2,30000,2022,8,5
حي الروضة,0,1,1,0,30,30,1,0,1,32000,2022,8,2
حي النعيم,0,0,1,4,5,80,3,1,4,32000,2022,8,8
حي الحمدانية,0,0,1,3,5,30,4,1,4,32000,2022,8,9
حي المروة,0,0,0,0,20,120,2,1,3,33000,2022,8,6
حي المروة,0,0,0,8,20,160,2,1,4,33000,2022,8,7
حي الرحمانية,0,0,1,0,30,200,4,2,5,35000,2022,8,11
حي المروة,0,0,1,10,15,250,3,1,5,35000,2022,8,9
حي المروة,0,0,1,4,20,180,3,1,5,35000,2022,8,9
حي مشرفة,0,0,1,17,22,200,3,1,3,36000,2022,8,7
حي المروة,1,1,1,10,16,135,3,1,5,36000,2022,8,9
حي الصالحية,0,0,1,0,16,180,3,1,6,38000,2022,8,10
حي الحمدانية,0,0,1,6,16,220,3,1,5,38000,2022,8,9
حي الريان,0,0,0,0,30,240,4,2,5,38000,2022,8,11
حي الصوارى,0,0,1,0,5,142,3,1,4,40000,2022,8,8
حي ابحر الجنوبية,0,0,0,10,20,170,4,1,4,40000,2022,8,9
حي مريخ,0,0,0,0,33,220,4,0,4,40000,2022,8,8
حي العزيزية,0,0,0,10,12,160,3,1,5,40000,2022,8,9
حي الرياض,0,0,1,0,25,312,3,1,5,40000,2022,8,9
حي الزمرد,0,0,1,0,5,210,4,1,5,40000,2022,8,10
حي المروة,0,0,0,11,20,250,4,2,5,40000,2022,8,11
حي السلامة,0,0,0,6,20,120,2,2,4,40000,2022,8,8
حي الروضة,0,1,1,0,28,45,1,1,1,42000,2022,8,3
حي الواحة,0,1,0,0,22,220,5,1,5,45000,2022,8,11
حي الريان,0,0,1,0,20,210,4,1,5,45000,2022,8,10
حي الزهراء,1,1,1,15,5,198,4,1,6,45000,2022,8,11
حي النعيم,0,1,1,4,16,170,3,1,5,45000,2022,8,9
حي المروة,0,0,0,12,15,240,4,1,6,45000,2022,8,11
حي الصفا,0,0,1,17,5,338,4,1,7,45000,2022,8,12
حي الصوارى,0,0,1,0,30,240,4,1,6,48000,2022,8,11
حي طيبة,1,1,1,6,5,180,3,1,3,48000,2022,8,7
حي الروضة,0,1,1,0,30,75,1,1,1,50000,2022,8,3
حي الحمراء,0,1,1,5,16,120,3,1,3,55000,2022,8,7
حي المنار,0,0,1,0,16,250,5,1,6,55000,2022,8,12
حي الروضة,0,1,1,1,15,160,4,2,3,70000,2022,8,9
حي الفيحاء,0,1,1,2,5,168,4,1,3,75000,2022,8,8
حي الفيحاء,0,1,1,2,5,182,4,1,3,75000,2022,8,8
حي الفيحاء,0,1,1,3,7,200,3,1,3,75000,2022,8,7
حي الفيحاء,0,1,1,5,22,182,4,1,3,80000,2022,8,8
حي الفيحاء,0,1,1,5,5,159,4,1,3,90000,2022,8,8
حي الفيحاء,0,1,1,5,5,170,4,1,4,100000,2022,8,9
حي الفيحاء,0,1,1,3,9,240,4,1,4,100000,2022,8,9
حي الرياض,0,0,1,7,5,150,1,1,2,16000,2022,9,4
حي ابرق الرغامة,0,0,1,1,25,125,1,1,2,22000,2022,9,4
حي الفضيلة,0,0,1,5,15,170,2,1,3,22000,2022,9,6
حي الشراع,0,0,1,0,16,100,2,0,3,23000,2022,9,5
حي العزيزية,0,0,1,19,5,150,2,1,2,23000,2022,9,5
حي الاجاويد,0,0,0,4,50,180,2,1,3,24000,2022,9,6
حي الفردوس,0,0,1,3,20,150,1,1,2,24000,2022,9,4
حي الفلاح,0,0,1,3,16,180,2,1,3,25000,2022,9,6
حي الفلاح,0,0,1,0,19,200,3,3,4,25000,2022,9,10
حي الريان,0,0,1,4,5,190,3,1,5,25000,2022,9,9
حي مريخ,1,1,1,3,5,70,2,1,2,25000,2022,9,5
حي الرياض,0,0,1,3,16,220,3,1,5,25000,2022,9,9
حي الريان,1,1,1,1,5,150,3,1,3,25000,2022,9,7
حي بحرة,1,1,1,7,12,300,3,1,4,25000,2022,9,8
حي المروة,0,0,1,7,32,125,3,1,3,26000,2022,9,7
حي الواحة,0,0,0,6,5,100,2,1,3,26000,2022,9,6
حي الريان,0,1,1,0,20,100,3,1,3,27000,2022,9,7
حي الحمدانية,0,0,1,3,25,204,2,1,4,28000,2022,9,7
حي الحمدانية,1,1,1,6,20,170,3,1,4,28000,2022,9,8
حي الربوة,0,1,1,15,25,20,2,0,3,28000,2022,9,5
حي المنار,0,0,0,6,15,120,3,1,4,28000,2022,9,8
حي ابرق الرغامة,0,0,1,9,28,170,3,1,4,28000,2022,9,8
حي مشرفة,0,0,1,3,15,120,2,1,3,28000,2022,9,6
حي الريان,0,0,1,0,5,140,3,1,4,28000,2022,9,8
حي الكوثر,0,1,0,7,5,180,3,1,4,28000,2022,9,8
حي الصالحية,0,0,1,0,20,250,3,1,4,28000,2022,9,8
حي البشائر,0,0,1,5,16,280,3,1,4,28000,2022,9,8
حي الروضة,0,0,1,0,12,75,1,1,2,29000,2022,9,4
حي الواحة,0,0,0,9,15,100,1,1,4,29000,2022,9,6
حي ابرق الرغامة,0,0,1,3,24,170,3,1,4,30000,2022,9,8
حي ابرق الرغامة,0,0,1,2,24,180,2,1,4,30000,2022,9,7
حي السلامة,0,0,1,0,5,180,2,1,3,30000,2022,9,6
أخرى,0,0,1,0,5,160,2,1,4,30000,2022,9,7
حي الربوة,0,0,0,7,12,145,2,1,3,30000,2022,9,6
حي الحمدانية,0,0,1,4,16,180,3,1,5,30000,2022,9,9
حي الصالحية,0,0,1,0,5,30,2,1,3,30000,2022,9,6
حي الصفا,0,0,1,15,5,180,2,1,4,30000,2022,9,7
حي الواحة,0,0,1,6,16,160,3,0,4,30000,2022,9,7
حي الياقوت,0,0,0,6,5,220,3,1,5,30000,2022,9,9
حي الاجاويد,0,0,0,2,25,150,2,1,4,30000,2022,9,7
حي الفلاح,0,0,1,10,15,220,2,1,4,30000,2022,9,7
حي السلامة,0,0,1,0,15,140,2,1,4,30000,2022,9,7
حي السلامة,0,0,0,17,12,130,2,1,4,30000,2022,9,7
حي النزهة,0,0,1,6,13,135,3,1,4,30000,2022,9,8
حي المروة,0,0,0,13,20,140,2,1,3,30000,2022,9,6
حي الصالحية,0,0,0,7,16,220,4,1,5,30000,2022,9,10
حي الواحة,0,0,0,6,16,120,2,1,4,30000,2022,9,7
حي الفروسية,0,0,1,0,16,150,3,1,4,30000,2022,9,8
حي الفيصلية,0,0,1,14,5,80,2,1,3,30000,2022,9,6
حي الفروسية,0,0,1,0,16,230,3,1,4,32000,2022,9,8
حي الصفا,1,1,1,25,5,60,1,1,2,32000,2022,9,4
حي المروة,0,0,1,6,5,150,3,1,4,32000,2022,9,8
حي الصالحية,0,0,1,5,16,200,3,2,5,32000,2022,9,10
حي السلامة,0,0,1,5,15,140,3,0,4,32000,2022,9,7
حي الصوارى,0,0,0,5,5,210,3,1,5,32000,2022,9,9
حي المروة,0,0,0,20,15,200,2,1,4,32000,2022,9,7
حي الصالحية,0,0,1,0,16,170,3,1,4,32000,2022,9,8
حي الشراع,0,0,1,0,20,130,3,1,4,32000,2022,9,8
حي الصوارى,0,0,0,6,5,200,3,1,5,32000,2022,9,9
حي النهضة,0,0,1,30,5,250,2,2,4,33000,2022,9,8
حي الصوارى,0,0,0,5,20,210,3,1,5,34000,2022,9,9
حي الصالحية,0,0,1,0,9,300,3,1,5,34000,2022,9,9
حي الفردوس,1,1,1,3,24,120,3,1,4,34000,2022,9,8
حي الصالحية,0,0,1,1,16,180,3,1,5,35000,2022,9,9
حي الفلاح,0,0,1,0,16,180,3,1,5,35000,2022,9,9
حي طيبة,0,0,0,0,25,200,3,1,5,35000,2022,9,9
حي الامواج,0,0,1,8,32,195,2,1,5,35000,2022,9,8
حي الصوارى,0,0,1,0,20,200,2,1,5,35000,2022,9,8
حي السامر,0,0,0,8,20,230,3,1,5,35000,2022,9,9
حي الواحة,0,0,0,6,20,198,3,1,5,35000,2022,9,9
حي الواحة,0,0,1,3,20,135,3,1,4,35000,2022,9,8
حي الصفا,1,1,1,5,15,120,2,1,3,35000,2022,9,6
حي الفلاح,0,0,0,5,5,170,3,1,6,35000,2022,9,10
حي الريان,0,0,1,4,20,180,4,1,5,35000,2022,9,10
حي الريان,0,0,0,0,5,200,3,1,7,36000,2022,9,11
حي الصفا,0,0,1,14,20,185,2,1,4,36000,2022,9,7
حي الواحة,0,0,1,0,20,138,3,1,4,36000,2022,9,8
حي المنار,0,1,1,10,40,190,3,0,5,38000,2022,9,8
حي الريان,0,0,1,1,10,120,4,1,5,38000,2022,9,10
حي الفيصلية,1,1,1,2,14,60,1,1,1,38000,2022,9,3
حي النسيم,0,1,1,3,22,220,2,1,4,38000,2022,9,7
حي الفيصلية,0,0,0,5,41,160,3,1,4,40000,2022,9,8
حي الصوارى,0,0,0,0,5,268,4,1,4,40000,2022,9,9
حي الحمراء,0,1,1,9,15,120,2,1,2,40000,2022,9,5
حي المروة,0,1,1,4,30,180,4,1,4,40000,2022,9,9
حي الزمرد,0,0,0,0,16,240,4,1,5,40000,2022,9,10
حي المروة,1,1,1,13,14,130,3,1,4,40000,2022,9,8
حي النسيم,0,0,0,9,5,128,4,1,4,40000,2022,9,9
حي الواحة,0,0,1,0,15,220,3,1,6,42000,2022,9,10
حي المروة,0,0,0,5,16,200,3,1,5,42000,2022,9,9
حي الصوارى,0,0,0,0,15,230,3,1,5,43000,2022,9,9
حي السامر,0,0,1,0,5,170,3,1,5,45000,2022,9,9
حي النهضة,0,1,1,15,1,190,3,1,5,45000,2022,9,9
حي الروضة,0,0,1,5,5,200,3,1,5,45000,2022,9,9
حي الاصالة,0,1,1,8,16,300,4,1,5,45000,2022,9,10
حي الصوارى,0,0,1,0,5,200,4,1,4,45000,2022,9,9
حي المروة,0,1,1,14,25,260,5,1,5,45000,2022,9,11
حي المروة,0,1,1,14,25,250,4,1,5,45000,2022,9,10
حي الريان,0,0,1,0,5,240,4,1,5,45000,2022,9,10
حي السلامة,0,0,0,10,15,160,4,1,6,48000,2022,9,11
حي الروضة,0,1,1,9,12,200,4,1,5,49000,2022,9,10
حي الزهراء,0,1,1,3,14,180,3,1,5,50000,2022,9,9
حي النهضة,0,1,1,4,16,180,3,0,5,50000,2022,9,8
حي السلامة,0,0,1,7,16,200,4,1,5,50000,2022,9,10
حي السلامة,0,0,1,5,5,210,4,1,5,50000,2022,9,10
حي السلامة,0,0,1,18,15,300,5,1,5,50000,2022,9,11
حي ابحر الشمالية,0,0,1,0,26,120,4,1,3,50000,2022,9,8
حي الزمرد,0,0,1,0,30,176,4,3,4,55000,2022,9,11
حي الصالحية,0,0,1,1,16,312,4,2,6,60000,2022,9,12
حي الروضة,0,1,1,5,14,220,3,1,5,60000,2022,9,9
حي السلامة,0,1,1,2,5,160,3,1,3,62000,2022,9,7
حي الصوارى,0,1,1,0,5,140,3,1,3,65000,2022,9,7
حي الحمدانية,0,0,1,0,20,273,5,1,7,65000,2022,9,13
حي الشراع,0,1,1,0,28,250,5,2,5,65000,2022,9,12
حي السلامة,0,1,1,0,14,120,3,1,3,68000,2022,9,7
حي الفيحاء,0,1,1,5,25,150,4,1,3,75000,2022,9,8
حي الصوارى,0,1,1,0,30,120,3,2,2,80000,2022,9,7
حي السلامة,0,1,1,0,15,270,4,1,2,90000,2022,9,7
حي الروضة,0,0,0,1,12,300,4,1,5,90000,2022,9,10
حي السلامة,1,1,1,0,40,123,4,1,2,95000,2022,9,7
حي البساتين,0,1,1,9,16,324,4,1,5,95000,2022,9,10
حي السلامة,0,1,1,0,35,226,5,2,3,130000,2022,9,10
حي الياقوت,0,1,1,0,32,50,5,0,7,320000,2022,9,12
حي مريخ,0,0,1,0,19,125,3,1,4,460000,2022,9,8
حي الشاطئ,1,1,1,3,5,315,5,2,5,500000,2022,9,12
حي الصوارى,0,0,1,1,53,150,1,0,1,15000,2022,10,2
حي الياقوت,0,0,1,5,19,75,2,1,2,21000,2022,10,5
حي الحمدانية,0,0,0,0,15,100,2,1,2,21000,2022,10,5
حي الربوة,0,1,0,26,16,140,2,1,4,22000,2022,10,7
حي الرياض,0,0,0,2,5,90,2,1,3,22000,2022,10,6
حي الرياض,0,0,1,0,16,122,2,1,3,22000,2022,10,6
حي الرياض,0,0,0,0,25,150,3,1,3,22000,2022,10,7
حي الرياض,0,0,1,0,5,300,2,1,3,23000,2022,10,6
حي البوادي,0,0,1,8,16,70,2,1,2,23000,2022,10,5
حي المنار,0,0,1,7,25,120,2,1,3,23000,2022,10,6
حي الريان,0,0,1,3,16,250,3,1,3,23200,2022,10,7
حي الفروسية,0,0,1,0,16,310,3,2,5,24000,2022,10,10
حي الرياض,0,0,1,0,16,160,3,0,4,24000,2022,10,7
حي المروة,0,0,1,8,20,110,2,1,3,24000,2022,10,6
حي المنار,0,0,1,10,5,130,2,0,3,24000,2022,10,5
حي الاجاويد,0,0,1,1,20,150,2,1,3,24000,2022,10,6
حي الصفا,0,0,0,12,25,115,2,1,3,24000,2022,10,6
حي الاجاويد,0,0,0,4,50,140,2,1,3,24000,2022,10,6
حي البوادي,0,0,1,14,5,95,2,1,2,24000,2022,10,5
حي الصالحية,0,0,1,3,20,175,3,1,3,24000,2022,10,7
حي الربوة,0,0,1,9,15,55,2,0,3,24000,2022,10,5
حي البوادي,0,0,1,6,12,90,1,0,2,24000,2022,10,3
حي الفروسية,0,0,1,0,16,260,3,2,5,24000,2022,10,10
حي الصالحية,0,0,1,4,50,100,2,1,3,24000,2022,10,6
حي الصفا,0,0,1,16,5,100,1,1,2,25000,2022,10,4
حي الفلاح,0,0,1,5,16,95,3,1,3,25000,2022,10,7
حي الفروسية,0,0,1,0,5,112,2,1,3,25000,2022,10,6
حي الزمرد,0,0,1,1,5,160,4,1,4,25000,2022,10,9
حي الرياض,0,0,1,0,15,220,3,1,4,25000,2022,10,8
حي الرياض,0,0,0,4,16,140,3,1,5,25000,2022,10,9
حي الياقوت,0,0,1,8,30,175,2,0,4,25000,2022,10,6
حي الريان,0,0,1,2,5,190,3,1,5,26000,2022,10,9
حي الحمدانية,0,1,1,7,30,150,2,1,4,26000,2022,10,7
حي الياقوت,0,0,0,0,5,110,3,1,3,26000,2022,10,7
حي الاصالة,0,0,0,0,5,200,2,1,3,26000,2022,10,6
حي الفروسية,0,0,0,0,16,150,3,1,3,27000,2022,10,7
حي المروة,0,0,1,5,9,118,3,1,4,27000,2022,10,8
حي المنار,0,0,1,10,18,120,2,1,4,28000,2022,10,7
حي المروة,0,1,1,12,20,130,2,1,4,28000,2022,10,7
حي ابحر الجنوبية,0,0,1,5,20,120,2,1,3,28000,2022,10,6
حي المروة,0,0,0,11,15,124,3,1,4,28000,2022,10,8
حي المروة,0,0,1,12,16,100,2,1,3,28000,2022,10,6
حي الريان,0,0,1,10,16,220,3,1,6,28000,2022,10,10
حي الحمدانية,0,0,1,0,16,104,2,1,3,28000,2022,10,6
حي الفلاح,0,0,0,10,15,250,3,1,5,28000,2022,10,9
حي الرياض,0,0,0,5,16,190,2,1,4,28200,2022,10,7
حي الروضة,0,0,1,25,15,182,2,1,2,29000,2022,10,5
حي المروة,0,0,1,4,5,120,3,1,4,30000,2022,10,8
حي الاميرعبدالمجيد,0,0,1,8,7,150,2,1,4,30000,2022,10,7
حي الفيصلية,0,0,1,15,15,140,2,1,4,30000,2022,10,7
حي طيبة,0,1,0,7,32,185,3,1,5,30000,2022,10,9
حي الشراع,0,0,0,5,16,150,4,1,4,30000,2022,10,9
حي الفروسية,1,0,0,1,5,240,4,1,5,30000,2022,10,10
حي الفروسية,0,0,0,0,16,160,3,1,4,30000,2022,10,8
حي الفلاح,0,0,1,5,19,170,3,1,5,30000,2022,10,9
حي الريان,0,0,1,0,5,120,2,1,3,30000,2022,10,6
حي الياقوت,0,0,0,0,32,150,2,1,3,30000,2022,10,6
حي الريان,0,0,1,4,5,200,3,1,5,30000,2022,10,9
أخرى,0,1,1,20,5,100,2,1,4,30000,2022,10,7
حي الحمدانية,0,0,1,0,5,110,3,1,3,30000,2022,10,7
حي الريان,0,0,1,2,5,90,1,1,2,30000,2022,10,4
حي البوادي,0,0,0,35,30,90,2,0,4,30000,2022,10,6
حي الحمدانية,0,0,1,0,20,200,3,1,4,30000,2022,10,8
حي المنار,0,0,1,10,8,126,3,1,4,30000,2022,10,8
حي السلامة,0,0,1,3,12,100,2,1,3,30000,2022,10,6
حي ابرق الرغامة,0,1,1,0,10,189,3,1,4,30000,2022,10,8
حي البشائر,0,1,1,1,52,170,2,1,3,30000,2022,10,6
حي الزهراء,0,0,0,20,18,100,1,1,2,31000,2022,10,4
حي طيبة,0,0,1,0,25,210,3,1,5,31000,2022,10,9
حي الصالحية,0,0,0,0,5,150,3,1,4,31000,2022,10,8
حي الصالحية,1,0,1,1,5,200,3,1,5,32000,2022,10,9
حي العزيزية,0,0,1,10,15,150,3,1,4,32000,2022,10,8
حي الياقوت,0,0,0,0,55,230,3,1,4,32000,2022,10,8
حي الشراع,0,1,1,10,15,120,2,1,3,33000,2022,10,6
حي العزيزية,0,0,0,10,10,175,2,0,4,33000,2022,10,6
حي الياقوت,0,1,1,3,52,150,1,1,2,33000,2022,10,4
حي الصوارى,0,0,1,0,18,140,3,1,4,33000,2022,10,8
حي الفيصلية,0,0,1,5,5,120,2,1,3,33000,2022,10,6
حي الربوة,1,1,1,8,10,120,1,1,2,33000,2022,10,4
حي الصالحية,0,0,1,0,20,250,3,1,5,33000,2022,10,9
حي السلامة,0,0,1,7,20,230,3,1,5,33000,2022,10,9
حي السلامة,0,0,1,5,12,140,2,1,4,33000,2022,10,7
حي المنار,0,0,1,0,16,160,3,1,4,33000,2022,10,8
حي المروة,0,0,0,3,29,145,4,1,4,34000,2022,10,9
حي المروة,0,0,0,11,15,200,3,1,5,34000,2022,10,9
حي القرينة,0,0,1,1,25,185,3,1,4,34000,2022,10,8
حي السلامة,0,0,1,6,12,145,3,1,3,34000,2022,10,7
حي المروة,0,0,0,0,25,150,3,1,4,34000,2022,10,8
حي الصوارى,0,0,0,5,16,200,3,1,4,34000,2022,10,8
حي الريان,0,1,1,2,5,190,4,2,5,35000,2022,10,11
حي ابحر الشمالية,0,0,0,8,5,185,2,1,4,35000,2022,10,7
حي المروة,0,0,0,12,15,191,4,1,5,35000,2022,10,10
حي مشرفة,0,0,1,1,5,100,2,1,3,35000,2022,10,6
حي ابحر الشمالية,0,0,1,0,25,100,1,1,2,35000,2022,10,4
حي ابحر الجنوبية,0,0,1,8,18,180,2,1,3,35000,2022,10,6
حي المروة,0,0,0,5,15,50,4,1,5,35000,2022,10,10
حي الواحة,0,0,0,6,20,230,3,1,5,35000,2022,10,9
حي المروة,0,0,1,6,5,200,3,1,5,35000,2022,10,9
حي ام السلم,0,1,1,0,30,150,2,1,4,35000,2022,10,7
حي الياقوت,0,0,1,0,16,136,3,1,3,35000,2022,10,7
حي الشراع,0,0,1,0,16,200,3,1,4,35000,2022,10,8
حي المروة,0,0,1,3,30,110,3,1,4,35000,2022,10,8
حي الريان,0,0,1,0,5,190,4,1,5,35000,2022,10,10
حي الرحمانية,0,0,1,0,16,360,3,1,5,35000,2022,10,9
حي الفروسية,0,0,1,2,5,156,3,1,4,35000,2022,10,8
حي الصفا,0,0,0,15,40,290,3,1,5,35000,2022,10,9
حي ابحر الجنوبية,0,0,1,0,15,152,2,1,2,35000,2022,10,5
حي الياقوت,0,0,1,2,15,180,3,1,3,35000,2022,10,7
حي الفلاح,0,0,1,4,15,250,3,1,5,35000,2022,10,9
حي الياقوت,0,0,0,6,5,300,4,1,5,35000,2022,10,10
حي الياقوت,0,0,1,2,16,200,3,1,5,35000,2022,10,9
حي الياقوت,0,0,1,4,16,196,3,1,5,35000,2022,10,9
حي السامر,0,0,0,10,5,250,3,1,5,35000,2022,10,9
حي المحمدية,0,0,0,11,18,120,2,1,3,35000,2022,10,6
حي الزهراء,0,0,0,8,5,150,3,1,4,35000,2022,10,8
حي مريخ,0,0,1,0,5,174,4,1,5,35000,2022,10,10
حي الزهراء,0,0,1,10,5,90,2,1,4,35000,2022,10,7
حي الصفا,0,0,0,10,35,250,3,1,4,35000,2022,10,8
حي ابرق الرغامة,1,1,1,5,21,150,2,1,4,36000,2022,10,7
حي الربوة,0,0,0,1,5,120,3,1,3,36000,2022,10,7
حي الصفا,0,0,1,7,5,180,2,2,4,36000,2022,10,8
حي الريان,0,0,1,2,5,220,5,1,5,36000,2022,10,11
حي الفيحاء,0,0,0,14,16,220,2,1,5,36000,2022,10,8
حي الاميرعبدالمجيد,0,0,1,1,26,190,3,1,4,36000,2022,10,8
حي الفلاح,0,0,1,0,5,225,3,1,5,36000,2022,10,9
حي الروضة,0,1,1,6,23,110,3,1,3,36000,2022,10,7
حي الزمرد,0,1,0,0,5,190,3,1,4,36000,2022,10,8
حي السلامة,0,0,0,5,5,130,3,1,4,36000,2022,10,8
حي ابحر الجنوبية,0,0,0,2,22,120,3,1,4,36000,2022,10,8
حي الواحة,0,0,0,0,20,130,3,1,4,36000,2022,10,8
حي البوادي,1,1,1,5,5,150,2,1,3,37000,2022,10,6
حي المروة,0,1,1,0,5,140,3,1,4,37000,2022,10,8
حي النعيم,0,0,1,0,17,90,2,1,3,37000,2022,10,6
حي الياقوت,0,0,1,0,16,200,3,1,4,38000,2022,10,8
